Hashed Email,User Group,Statistical Category 1,Statistical Category 2,Statistical Category 3,Statistical Category 4
169257f9d9fd78f3c3f8426a8d434c9d9bfd3061e719b8f04230b31ce69d58f3,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
3daaf3846e57ec4b10611186f0fc7577ccec54ebb0fcc85f2f4348d522dc36ed,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
c87c45b462735dc17d61053b8778b3c1e2bfb971718455f94ec29d92a11a08b5,MASTER,Lee Kong Chian School of Business,MSc in Wealth Management,AY_2015,GY_2016
767ae412f50018f9e9a66a671ba0f1da05842fdff76e8ee6fcb6947c0a347b90,ADMIN STAFF,Others,0,0,0
edbab9a4d4f792849841355c8be053c84ca355cd741450e1ca4c3c905e689715,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2016,0
7525b58028940be378fcc740aa14395ee5089d952f7d5d53444198e7fe0c5f40,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
b79961fff840b3be2cc3cc458a31d64fe6200f3fc9940814a75c43ab296c1d8e,UNDERGRADUATE STUDENTS,School of Economics,BSc (Economics),AY_2015,0
5bad13c9dde934195ccd7c8dfe4aa3711eb47cfe8ecfee944958f8431b098038,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2015,0
6136e3bd32091028e77526eb7653fdbea36db30be347abeaa523126536e2de7e,MASTER,Lee Kong Chian School of Business,MSc in Quantitative Finance,AY_2015,0
7d6e0dea07abdaafd154477c4a15d5f228b9b1ae8642faaeb0ecd33c864ec210,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2015,0
d50a61446f70d36af9a4f2bcc93178c687fd252330d377d2589bbb7f76771b9e,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2013,GY_2017
20b17a5b8fdea3d7c3f37ec9479ed22ce0430555d4a0bf79e8b199a1e06731f3,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2007,GY_2011
16e4f9cc0460cc60ffe60b65dbc34eb3f265de87106086fcee610599c2e1487a,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
c875f3517deae38b6c48cc6cc321a03ad2c0645c6014eee5bd6e1a2cfbca69d6,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2012,GY_2016
558a5f5486a73f9b0969d940395a8ac468427b03d5e9c1b4e792be2f97a9c49a,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
afa7e7b8c41066baac8da47866f81434b91e3e7c8e5a41ee0106aee2bb745920,ADMIN STAFF,Others,0,0,0
051971d7650906ba3c95d42bf56054c9dbd2ced17579ea064d060efb11d1213b,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2013,GY_2017
94776c440df74efe6495d78235bfe7d6add90ead0e44bbbc1253aa3c3f3b1b82,ADMIN STAFF,Others,0,0,0
d007ee4a53493cdb6cba45dd3b1b822e053852c8736fd1c1116f058da0955447,UNDERGRADUATE STUDENTS,School of Social Sciences,Bachelor of Social Science,AY_2015,0
5716c8880a8288924e0a917b8c7bae6424cf87c233e21f573985e2f3e7278b93,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
0558344832145360ce293dfb37244ad393bc58752cc58f5d661305d7ba69b235,UNDERGRADUATE STUDENTS,School of Economics,BSc (Economics),AY_2015,0
7140bd35c66ffd0ac2e0dc83f9ad65319813628e758fc2d699380c2a5c56d6bd,UNDERGRADUATE STUDENTS,School of Social Sciences,Bachelor of Social Science,AY_2012,GY_2016
9b518ab766ad6001f146c6b09031304bf84f30c42c473d775ac2a7d4dee69175,MASTER,School of Information Systems,Master of IT in Business,AY_2015,GY_2017
d4bfdc53fd5e9f235878ee4debebef07dccf48e8d2c2eef8b61332bd63bb53a7,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2015,0
b32f39175faff1d64e94d02cd7b169aec06668e1fa4875d7c1df6c741cd8b418,MASTER,Lee Kong Chian School of Business,MSc in Quantitative Finance,AY_2015,GY_2017
c8fdbaeec7c948695ef6a439556dde9577fc9bf3e5001bae1d8bbede0fe26d12,MASTER,School of Information Systems,Master of IT in Business,AY_2015,GY_2017
5577eba2dc2479832c30658c9ad43e91eabcaf6ac25e506878bbd98276c3b1a4,MASTER,Lee Kong Chian School of Business,MSc in Quantitative Finance,AY_2015,GY_2017
d2f50a6176a2021529d10a1830e43206c36f2e3dc36e06b6c8e650e2e00050af,MASTER,Lee Kong Chian School of Business,MSc in Quantitative Finance,AY_2015,0
964ec548ab33a628a2e22a9f3222989fe0dc3358c11ce3d923bd8c76ad03ce9c,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
2c4df576d42a03254d9857bd69a7c5b78120f80d01e62027e29045c5080c3ec2,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2014,0
909fb862316540231e11a86ea667db4df50a7a7fc4ad465ab027388db1a8a09b,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
f64d95897af2042af73016d3d4268073234fc78bdc7c20511462fc78525457b6,UNDERGRADUATE STUDENTS,School of Social Sciences,Bachelor of Social Science,AY_2015,0
8e24b6a56d755164eafead99cc31badd0ea3472de0d0f2591257e600cd04410a,MASTER,School of Information Systems,Master of IT in Business,AY_2015,GY_2017
c1c05e72b54a4180848266ee1536747b718bf1d23ba69f3cbaac60a046472b83,MASTER,School of Law,Juris Doctor,AY_2015,0
a1ce6ef048e681ab066d09f93aaae9a22a1218d6cca958637089ba494f790842,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
28db402630c91c1fefd8b85dabbf05e9d62c8609909e463e98dff0da9adef3e6,ALUMNI,School of Economics,0,0,GY_2016
33fe135881f4af2e83b755ed472bec2d842bdb29cdfa4e690461df843679baab,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2013,0
60cfe1bc56f9c6245be3696bb5a44bd7b577f24fbcc2f60d03f4b1edbe8384fb,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2013,0
10bef4422d6299e6dee6403b02d375d14f3cb6c119d0e05126786961b3a38135,Others,Others,Intl Exchange Programme,AY_2013,GY_2014
6dd73886705de5f7bbdf11696d368d71d5d2e982cf2ed4c5c02e909bcdc5acad,MASTER,School of Law,Juris Doctor,AY_2012,GY_2015
9741adca20fd7a79a68902c4227fe2f0680109de1a4b5a80f82230a01c258fdb,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2014,0
ea4775825234756b584d5d23864027ecb64c12d4553a9808727368d79743bb29,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
6900bb25f72dcca37edad0b2ea341fac1028304a493bf62d73656a25733c647d,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
2a4bf62920bb2aaddd49fd239a76330d9bb26bc64f7bf3c0c6051d5610e2d5c7,MASTER,School of Information Systems,Master of IT in Business,AY_2015,GY_2017
51054d26bda145dc58cc59efea0235c8e05e3504df18719485cd123af3b145e1,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
65742f790cf430ca0a85c2d53da4c94ccd463e20ca82643d76cb27e93f502152,MASTER,Lee Kong Chian School of Business,Master of Business Admin,AY_2016,GY_2017
57486133db7780fa159a0592f5bda3db1e0a1ae82a96f2bc1c12baa977626be8,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
e9e63f9447fd1aee3fd95e226517b6bd5238dd97da7ba768008afd37a7a0f17f,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
b3e8cb17b1a401267e08f4f480a6e043752b8c0cfd0e4b299ab1038178618840,UNDERGRADUATE STUDENTS,School of Economics,BSc (Economics),AY_2012,GY_2016
785780d9136db6748fd58a1b6c5279ced3558994e4a209f01e277d96eaaef613,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2013,0
6997ea70e1156c87b52c0e80f1913155beb8703567699368389ca71dc849a244,UNDERGRADUATE STUDENTS,School of Economics,BSc (Economics),AY_2012,GY_2016
acdda9eccfb7f3b095c1822723e1c069fd01f8209e815df3968a5261d5866ee6,MASTER,School of Information Systems,Master of IT in Business,AY_2015,GY_2017
c51d0813b880be9066d1aee3a342625e23e676a9acc1249363a1c9ab812c078a,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
79246c5cb75022df0252c31cc57125ddf3e639c4a05e30c8f72ca660cd9b4409,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2012,GY_2016
52f69ac27da03045ecf695f0698b434411c65699096276ea0fc8562d6ead1095,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2012,GY_2016
7996a2dc06b55ca4e383e42ec166156da4e8836776afd7b043396128f16d7c2a,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2014,0
58728337086094c0187c99430eeac5c2c051eb20a0d4bed07859f5f505de2eee,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2014,0
971c6336b217c29438549903eaee6fb57ae4277d748768d153e0934fdf34ff94,MASTER,Lee Kong Chian School of Business,MSc in Management (Coursework),AY_2015,GY_2016
bb30e458a37980ffa0d6abd221669f9d9c58f68adfb35710aebc05760e45b214,MASTER,Lee Kong Chian School of Business,MSc in Applied Finance,AY_2014,GY_2015
359f141ccaf48cd6175520cd99a7cae846d54cb06ae5ad7f1dbd9e69c9a69b68,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2014,0
7b49a05f7ec0ca9a23e1ce6ca71e0818b3670b29a32e347a7a69281bf7c82902,MASTER,Lee Kong Chian School of Business,Master of Business Admin,AY_2016,GY_2017
9016b286896adbdbc914ed822050800024972df39ec09eb0a17e958b403e2b84,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2013,GY_2017
5481c8dc66709379926a0b789f1c4e1295f040958fe7727d138cb6c117de6f6c,Others,Others,H3 Programme,AY_2011,GY_2012
41d6ad574e7905a97d483e498bb3718bb59a616c7b937a5246d4869acfd55f69,UNDERGRADUATE STUDENTS,School of Economics,BSc (Economics),AY_2014,0
aea55cb6ae0cc0326e2ef6a96483e1942486b1313ddde571b9283322c81146e3,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
32ab03cd914532f3e6d345ad15345e9d137d832a1b187e802856b4875754ec59,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2014,0
34d84a7bfe49157f4fe43d095a42c8b1b9b612c245b1248b3ea11e601c064f0b,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2012,GY_2017
ea22fcc3c26b342df629d646d033ae9f6357bce7c1d52b91552ad0d7452add06,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2014,0
b7a1a887e72b2d5a64d7f7a342cbda9c961bc6a74a3a2ec0dcfc3822c947e822,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2013,GY_2017
cbb9ddfded10fd199974f65cd625729b473a85ddbc96a8aa95086a82f1435cbb,MASTER,School of Information Systems,Master of IT in Business,AY_2015,0
d8587268ac2966203f86016e1ae516c5855a08f5c8e78b11e620778c538c0d1b,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
335cbc67cd694cd1482584303ca85d76c7d4fbe81d0bd1c1d6a0f3674848ea4b,MASTER,School of Accountancy,Master of Prof Acct,AY_2017,0
5d40006e6091354ff09108b840781d05fd8d3b97fe06965c3289bdb6ffec1972,ALUMNI,0,0,0,0
40572d369bfe883aa6b0307d776389457d5493aa7d28aa900aef40aa646745b6,UNDERGRADUATE STUDENTS,School of Social Sciences,Bachelor of Social Science,AY_2012,GY_2016
c47d8c819759cb7963375c1770b318368fc70b3f917e1165548867a10e2c7832,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2013,GY_2017
0751fcbb42f625921a015ad92f30015e594b5328c384b2e23fef3ddd921de883,ADMIN STAFF,Others,0,0,0
49406055f958c2b24b069015aeaca38ce305ea6a646787831a978659f0e883b8,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
b8e4fc097709a44a6a00df6ef9f7e5b894838eb7add549aa3e66b8dac34d6344,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2014,0
dff7b7d19f5a4b0c38cb40f19196d6dcc882ecca2d8c96b6bf266ab2d7d63996,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
388ead17081b74adbf1c61ef8a1662a72816715f577039fc301b827c65ac844a,MASTER,Lee Kong Chian School of Business,MSc in Quantitative Finance,AY_2015,GY_2017
48bb2e371441592cf141b5dca53723fa10303c5184f137f8ad4c61b97d8a95b5,PHD,School of Economics,PhD in Economics,AY_2015,0
f14aa5d1e8c4a5d799189e5a2d0a00c63a3b3708d5d629f9846cf9959dd0ad4d,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2013,0
bed54538c55db658f1f5d23a7c3fa2863b52bd71603956df4a71da2480db30cb,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
97a84294cf936b24481631204db04f9604c9bcbdecb47092a950f9c2d8f60f1f,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
2c8376b1e588577c7d60a728f082bb93e9c59eb5696c10923faae5b1a5fcd390,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2013,GY_2017
93fe357282287075f693f581693522c85aa07b1c95ff85d74b5663e24360ba17,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
f37f9e8c9d0f185e3d3f580f6091b57670435d12824625f53e33777a55b1f34a,ADMIN STAFF,Others,0,0,0
9a6145a14ac78a5e659f092974698a5a10a246ddf8b14592d9880f8ead97c19e,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
2bae009766eb97e41d8673637b6798d134b8a4fc663e3a701113e058c0615857,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
f689dd30e6a6929b002cd164feb97b1cbf722d0f836e0c77454707a0c05f5d50,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2013,GY_2017
7fca3ce79359d2c33ce682ea3af334ac5be7ad29fc94c74577ce1d5220c10448,ALUMNI,0,0,0,0
a91728f926ca7b5b458dac800050607ce0187939b5c755129a87bf22f5e8f0e8,MASTER,Lee Kong Chian School of Business,MSc in Applied Finance (China),AY_2012,GY_2013
235978a4444d10639f6b5b2d4d8aba5caafde1899a6f0d3e5ff5d7c85eabb198,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2015,0
da88406e2ce50273b06cc61af9103eb5125ccc253372dfa4cb5688c7ef9472d1,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2015,0
70c53dd9f00e543e96117a02bb9fe2a531c4ff1bcaa884d80cbf325f36ed3053,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
dbe17a36ad4289af23fff8c700b0ea00937ce0ef46dc042d5a513a1c98ef362b,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2012,GY_2016
6773493aec3a1111ac8f305157ce60adee40c4a76221aa6e31bc066f60a6b06f,UNDERGRADUATE STUDENTS,School of Economics,BSc (Economics),AY_2012,GY_2016
d538d2dd52423112597e520aa0ee4ce37dd03ed9c4efeeaf365d18ad3cd451e7,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
804ba2267fa8e1ac6c0a0c8178c1e73061a742da73dcc4ecc682fe5bfdb9926e,MASTER,School of Accountancy,Master of Prof Acct,AY_2016,0
f351455e60cc6be4ebeec7c5007d98f2c0c9e7fdd9a08033f5d19d08be27c792,MASTER,School of Economics,MSc in Applied Economics,AY_2014,GY_2017
41e7dada36936ea8050f44816f4cd771ad5d4de1cd60afd3547d5fabca96cba1,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2014,0
1077186fef29c8e988d6d3682018c78d954e118842584870f3bc16bf08dda7f0,ALUMNI,0,0,0,0
df7c53f1b520e7ba4c7e86f76446ae6b8a6e82fe002b402fa429e1af2e18cfa3,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2013,GY_2017
02c32c623a16cb1981997c02647dbdef682dcc27f2ff40044dfa36e686e8fc55,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2013,GY_2017
5260523ca51e71d139e0650588b588d3a517307917a9bcff5db1378861100f88,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
af5178c0a50d69b540b505aaecf428a99a3fec69e3b524bc54bada567d2e489c,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
5af30d1fafec2efd90304d3ca287f6a4d78c13e660385c6104b3a7a8b9ccfcc9,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2015,0
47867f9c452e05242e13ddde1d38f45f6bec6798b9af7c93d342632bffc90fed,UNDERGRADUATE STUDENTS,School of Social Sciences,Bachelor of Social Science,AY_2015,0
9de146069341bb9e21a5892ac5c9a1e945c1dc3f9b1412a77d3191769bd03f38,MASTER,School of Information Systems,Master of IT in Business,AY_2015,GY_2017
c90fd284d750758c1e53014b0aefdf4ce4636bb72ee9f2be01393e396673354d,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2012,GY_2016
723e832b828914b67d3689228ef255bfad2c9ce7888975d5d54368b68d4b9a6e,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2014,0
eae9bdcf0f3e98841196445bc6914b9582726847b3dad81e91c12d267fcffad6,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
798a46e307ef41eca0bcad5079e0570e8e8dda495a566f45465b41b1b88d09af,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2012,GY_2016
c2a904720d7ec7532dbdaa854f46218c56944a0db6dc136364305591d7baab76,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2013,0
9b097ad4061ff9051150d2ecb82842d5748fc1b53705d4f0582cc8b249330aa9,UNDERGRADUATE STUDENTS,School of Economics,BSc (Economics),AY_2009,GY_2013
c2c805f6434bc32859ab4c32e0168418e23d8978335fd5c05ca7b62e797d6d1c,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2014,0
baa51a40f869a585bc0741e0bda3afc96b93f8e92e81bd0a5bfe6816b4ac1693,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2010,GY_2014
dfc27f7af6ae250b07b8d3b0ae4f4456da6c36ef648ebcca0f80e826b8c5690b,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2014,0
b927cc30342253a7828e4414dec8f3774b96fea1e4caea9c2bed25d5a72c900d,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2015,0
56aaa0c2013af55fee38eb87e802eaca07e4e8749143c70641f6ed44de10353d,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2014,0
057693d85b2ae859f8c43fe7083f8f22943cdc38ed6049a04a4a293c8eaa5c70,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
85183b174f05e4464b20963ca724e24b5f479cd83e13aef9a0ae8dafbf73aa00,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
2adbab74882219f00ce7ac088789bb804d393425d25aa7698dcb0a737a8cf4e2,FACULTY,School of Accountancy,0,0,0
1652f5b98813430c4f72be8b9e6bf0467576d93f6a9666c722d2be8ca65dc273,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
cecae9682bd6d691510c377ee2651b44cc657aaa65521c310e92ffe0e034009d,ADMIN STAFF,Others,0,0,0
fe73f9816b679a49f8685cb65738d400f26221ab54c25d3823bedc14b76f35d6,PHD,School of Information Systems,PhD in Information Systems,AY_2015,0
54f7750f296b8d30790647273c4a81dec032cb0e1027adb04197f6ba2d308f8e,ALUMNI,0,0,0,0
42bcf9624a5b687ec3197783c3a5365f43079cd5dac9ad766c64badb600f65df,PHD,School of Economics,PhD in Economics,AY_2013,0
