Start Date,End Date,Pre-Confidence: Scoping your topic ,Pre-Confidence: Searching Keywords,Pre-Confidence: Searching library online databases,Pre-Confidence: Searching the Internet using Google,Pre-Confidence:  Evaluating information,Pre-Confidence: Citing References,Pre-Confidence: Creating Reference List,PT: Scoping your topic,PT: Searching using keywords,PT: Searching library online databases,PT: Searching the Internet using Google,PT: Evaluating information,PT: Citing References,PT: Creating Reference List,School,Email Address
8/20/2017 23:37,8/20/2017 23:39,Slightly confident,Somewhat confident,Somewhat confident,Confident,Confident,Somewhat confident,Slightly confident,Yes,Yes,No,Yes,Yes,Yes,No,School of Economics,282ef3410e8ac87336656f80118863cbd3e8a38e9ed8b317589bb5dd1bda0a20
8/20/2017 23:30,8/20/2017 23:31,Confident,Confident,Not confident at all,Very confident,Confident,Confident,Confident,No,Yes,No,Yes,Yes,Yes,Yes,School of Information Systems,7ee80ba9f29f1075f9a66355048b9d1489c1c4c9d19a09beeebcf6162aaecafc
8/20/2017 23:21,8/20/2017 23:24,Somewhat confident,Somewhat confident,Not confident at all,Very confident,Confident,Slightly confident,Confident,Yes,Yes,No,Yes,Unsure,No,Unsure,School of Social Sciences,a20aed9d586622a586eeba70013ea78b8acca4fe9a5a4e66e777e3140b9458ea
8/20/2017 23:17,8/20/2017 23:20,Somewhat confident,Confident,Confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,No,Yes,No,Yes,Unsure,No,No,School of Information Systems,db0b04d06a78aebfd2527a6ea05e95ba51a9d2b06dca1ad0a3491e79fd0e9ac2
8/20/2017 23:18,8/20/2017 23:19,Confident,Confident,Confident,Confident,Confident,Very confident,Very confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,a2b7569314c8203b1206c16113d53e428887e879473a6ae2f5e4a5cb34f02a9b
8/20/2017 23:15,8/20/2017 23:17,Somewhat confident,Somewhat confident,Not confident at all,Very confident,Slightly confident,Confident,Confident,No,No,No,No,No,No,No,Lee Kong Chian School of Business,9f7cceb4868093c93ec91cd2b4057ad46672371b4a78699d3ecb2d6b11feab2f
8/20/2017 23:13,8/20/2017 23:14,Slightly confident,Confident,Confident,Very confident,Very confident,Slightly confident,Slightly confident,Yes,Yes,Yes,Yes,Yes,No,Yes,School of Information Systems,66b491270666b8faf4ce4ec3a92f7921ea838f25a6430813ac42cac0daa16bc2
8/20/2017 23:10,8/20/2017 23:12,Slightly confident,Somewhat confident,Not confident at all,Very confident,Very confident,Slightly confident,Slightly confident,No,No,No,No,No,No,No,School of Information Systems,8a849ba21d46ddc4e3ce5605faa155e5ddd87b189410034498d5ff4dd461e708
8/20/2017 23:03,8/20/2017 23:05,Confident,Confident,Confident,Confident,Confident,Somewhat confident,Somewhat confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,School of Accountancy,697d94f51a5fe80094acafb98acf84f8502aa01f5fb16503ac6df2f6749197e3
8/20/2017 23:02,8/20/2017 23:03,Somewhat confident,Somewhat confident,Confident,Confident,Confident,Very confident,Very confident,No,Yes,Yes,Yes,Unsure,Unsure,Unsure,School of Accountancy,7eb1f506f7daf34d560df9cf323c6c765eff5b6080c82b445310f92bf72495a5
8/20/2017 22:53,8/20/2017 22:56,Somewhat confident,Somewhat confident,Slightly confident,Confident,Confident,Very confident,Very confident,Yes,No,No,Yes,Unsure,Yes,Yes,Lee Kong Chian School of Business,9cb5be4085f8351a464635869d7f0b0eec6f531240cca4f6ab93c2c7ec2b6f05
8/20/2017 22:48,8/20/2017 22:49,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,bbbab67b923b33e222a498f83385dce6fa26ed9e08bcb9f85e22ab9fe4620315
8/20/2017 22:47,8/20/2017 22:49,Confident,Confident,Somewhat confident,Confident,Very confident,Very confident,Very confident,Unsure,Unsure,Yes,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,526faa9d47db8dde681f1585a0bbb12428ae9352172a2970fef99ebe4a8944ad
8/20/2017 22:48,8/20/2017 22:49,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,No,No,No,No,No,No,No,Lee Kong Chian School of Business,585c7175aa669c3c96df7f2c9cb8b9694ffe37746114bb681ddbbfb10e8a2186
8/20/2017 22:45,8/20/2017 22:48,Somewhat confident,Somewhat confident,Somewhat confident,Very confident,Slightly confident,Somewhat confident,Slightly confident,No,Yes,No,Yes,Yes,Yes,Unsure,School of Social Sciences,e6a45b46b19fe1e7a363c12d68f49867559c626bd611e0e5249e86ac5e15aeaf
8/20/2017 22:41,8/20/2017 22:42,Confident,Confident,Somewhat confident,Very confident,Confident,Very confident,Very confident,Yes,Yes,No,Yes,No,No,No,Lee Kong Chian School of Business,a9cc9c8c52893773b85f85d4f27b972779a1dc28927658532d9052ed50c9dc9e
8/20/2017 22:30,8/20/2017 22:39,Somewhat confident,Very confident,Somewhat confident,Very confident,Confident,Not confident at all,Confident,No,Yes,Unsure,Yes,Yes,No,Yes,School of Economics,d0d8988068d802d28adf5f3468e139992680ad2933a8f31cfa067a385878cb26
8/20/2017 22:33,8/20/2017 22:34,Somewhat confident,Confident,Somewhat confident,Confident,Confident,Somewhat confident,Somewhat confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,School of Information Systems,545eb1ccc604a25595aa51b663d19ab519570f41ac3a775aa7b23c71815b5c43
8/20/2017 22:28,8/20/2017 22:29,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Yes,Yes,Unsure,Yes,Yes,Yes,No,School of Information Systems,297f54b3a8bb84f0b86a53b57977152e4f98f125ecbd991b68ce8313a00d6c95
8/20/2017 22:22,8/20/2017 22:24,Slightly confident,Somewhat confident,Not confident at all,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,Yes,Yes,No,Yes,No,Yes,Yes,School of Economics,99d680f5d9078b865b4c856859193730ab739b3bd59c0dab240980579b81e9db
8/20/2017 22:18,8/20/2017 22:19,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,School of Social Sciences,9c429d124686edf863f1eb389b215841bdf6f34dbd13c21332c1121937cc5d33
8/20/2017 22:10,8/20/2017 22:12,Somewhat confident,Confident,Somewhat confident,Very confident,Confident,Confident,Confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,School of Information Systems,ccf0e81dbc4223db30dbd2a747182bc0517487d640fdbe683d1bf25c27083e7a
8/20/2017 21:56,8/20/2017 21:57,Somewhat confident,Slightly confident,Slightly confident,Confident,Somewhat confident,Slightly confident,Slightly confident,Yes,Yes,No,Yes,Yes,Yes,No,School of Accountancy,a59ce7c9955502e43688fc5e0b453ba4749dfc5f40d43032535fea7166f3182c
8/20/2017 21:56,8/20/2017 21:57,Somewhat confident,Confident,Somewhat confident,Confident,Confident,Confident,Confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,School of Economics,f4cd8430f31445ccf5927a59deb1ff893e997487eee7882ffe05f3d2ab8832b8
8/20/2017 21:47,8/20/2017 21:48,Slightly confident,Confident,Slightly confident,Very confident,Confident,Somewhat confident,Somewhat confident,Yes,Yes,No,Yes,Yes,Yes,Yes,School of Social Sciences,f187ecdf0f11100d331bfe5a2d6b632a2a429b0a0194d21cde6fcf6fc6e0b5af
8/20/2017 21:31,8/20/2017 21:32,Somewhat confident,Confident,Confident,Confident,Confident,Confident,Confident,Yes,Yes,Unsure,Yes,Yes,Yes,Yes,School of Social Sciences,f23bac81efefcfba243978fd34ed9cd075c1fe9688d0926645f920c063034620
8/20/2017 21:29,8/20/2017 21:31,Slightly confident,Slightly confident,Slightly confident,Confident,Confident,Confident,Confident,No,No,No,No,Yes,Yes,Yes,School of Social Sciences,1ca39fe2aa16d4899d74c2882ff6d8159df5c38fdbca60e0797b48b55b5d4ac8
8/20/2017 21:17,8/20/2017 21:18,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Very confident,Very confident,No,No,No,No,No,Yes,Yes,School of Law,6b0d4cdb1bf549264f59b6b472271bcdc1daead42493ff7d0e663afa34eb6e81
8/20/2017 21:09,8/20/2017 21:11,Somewhat confident,Somewhat confident,Somewhat confident,Confident,Confident,Somewhat confident,Confident,No,No,No,No,No,No,No,School of Social Sciences,0628815dad62b4f041abf8270ccc860e92436563fd74c40d1bf2c7fbe3a00ba4
8/20/2017 20:20,8/20/2017 20:22,Slightly confident,Slightly confident,Not confident at all,Somewhat confident,Somewhat confident,Slightly confident,Not confident at all,No,Unsure,No,Yes,No,Yes,No,School of Accountancy,0279ca67ff7e6e7b7fe68a569cbe3b8f864b6087514fd7a38813603a89ee6f57
8/20/2017 20:11,8/20/2017 20:12,Slightly confident,Somewhat confident,Not confident at all,Confident,Somewhat confident,Somewhat confident,Somewhat confident,Yes,Yes,No,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,89f7df544f6e1fae9990231e9d1990875a4f4e2cbecdd31fd3da58482c7a8146
8/20/2017 20:04,8/20/2017 20:05,Somewhat confident,Somewhat confident,Not confident at all,Very confident,Somewhat confident,Not confident at all,Somewhat confident,No,No,No,No,No,No,No,School of Accountancy,7533d8fa04a4bbef2616518f53e4ed0601530e3f39e800299225a9a26919d285
8/20/2017 20:00,8/20/2017 20:05,Somewhat confident,Somewhat confident,Not confident at all,Very confident,Somewhat confident,Not confident at all,Slightly confident,No,No,No,No,No,No,No,School of Economics,8169636924387a4ef37b449168ad1124c5c84fdc6a8878a44c9894ecc96d4dcc
8/20/2017 19:49,8/20/2017 19:50,Not confident at all,Somewhat confident,Slightly confident,Very confident,Slightly confident,Not confident at all,Not confident at all,No,No,No,Yes,No,No,No,Lee Kong Chian School of Business,d51058c3869302333c3cfcafb77f0bdfc86d49a8d202ed9aab4a209ec1830e5b
8/20/2017 19:32,8/20/2017 19:35,Confident,Confident,Confident,Confident,Somewhat confident,Somewhat confident,Confident,Yes,Yes,No,Yes,Yes,No,Yes,School of Economics,bdb5eca59dfb1e0163a1fe5e56cc512f36ed484132573ad2d1e5f894f1fab946
8/20/2017 19:25,8/20/2017 19:26,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Unsure,Unsure,Unsure,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,09507b453606c3e8ad917e3ae5ac8ca3f2e2f8c98e09fff3e00845be20276967
8/20/2017 19:11,8/20/2017 19:15,Slightly confident,Somewhat confident,Slightly confident,Confident,Confident,Somewhat confident,Somewhat confident,No,Yes,Unsure,No,Yes,Yes,Yes,School of Information Systems,feab6a4b00851db84df250b290beeecafe37a4fdd23c7f87beb7690434a31905
8/20/2017 19:11,8/20/2017 19:13,Somewhat confident,Somewhat confident,Slightly confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,Yes,Yes,No,Yes,Unsure,Yes,Yes,School of Information Systems,8f16ca4474076c240bc3828b316767007120c5dce026cb386002a68b6f464133
8/20/2017 19:07,8/20/2017 19:10,Confident,Confident,Not confident at all,Very confident,Confident,Confident,Somewhat confident,Unsure,Yes,No,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,a1fa922f736f3998a2da0a51762306eafe7af801821d807bfc5b39c8808bb750
8/20/2017 18:40,8/20/2017 18:41,Slightly confident,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Somewhat confident,Somewhat confident,Unsure,Unsure,No,Yes,Unsure,Yes,Yes,School of Social Sciences,fd29379835af1975e59a9adbb869b9fbdfc60df6f9104ee0178d57ff78e4762b
8/20/2017 17:37,8/20/2017 18:40,Slightly confident,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Somewhat confident,Somewhat confident,Unsure,Unsure,No,Yes,Unsure,Yes,Yes,School of Social Sciences,fd29379835af1975e59a9adbb869b9fbdfc60df6f9104ee0178d57ff78e4762b
8/20/2017 18:20,8/20/2017 18:22,Somewhat confident,Confident,Somewhat confident,Confident,Somewhat confident,Confident,Somewhat confident,No,Yes,No,Yes,Yes,Yes,Unsure,Lee Kong Chian School of Business,6e08d174a01f2148539850465a488192ec5af569cab43ee25cddfda1faba7c76
8/20/2017 17:59,8/20/2017 18:02,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,Somewhat confident,Confident,No,No,No,Yes,Unsure,Yes,Unsure,School of Accountancy,7876ff8d05e02bd6e99293a1a62e686cb2033f25bde9346916cd17453a33b3c2
8/20/2017 17:35,8/20/2017 17:37,Somewhat confident,Somewhat confident,Not confident at all,Somewhat confident,Not confident at all,Confident,Confident,No,No,No,Yes,No,Yes,Yes,Lee Kong Chian School of Business,a20cad06502c937b8378833201e7b1598f4c536bf86d012ef7f6c71301a48826
8/20/2017 17:17,8/20/2017 17:20,Slightly confident,Slightly confident,Slightly confident,Very confident,Somewhat confident,Very confident,Very confident,No,Yes,No,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,729ed604f931dd42c396d22fbb7433ca5b2389581ca827dfc50315cc64876a62
8/20/2017 17:08,8/20/2017 17:13,Not confident at all,Slightly confident,Not confident at all,Confident,Somewhat confident,Somewhat confident,Somewhat confident,No,Yes,No,Yes,Unsure,Unsure,Unsure,School of Social Sciences,62d3ce1eadb9f60881d35bdfbf5edb0e3957797b4435ce1cc8113114f2b4f50c
8/20/2017 17:09,8/20/2017 17:13,Slightly confident,Somewhat confident,Slightly confident,Very confident,Confident,Somewhat confident,Somewhat confident,Yes,Yes,No,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,4d62eb1250716faac269d07936674812aea0662a52472a2a88451871c320ff4f
8/20/2017 17:08,8/20/2017 17:10,Slightly confident,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,Not confident at all,Unsure,Yes,No,Yes,No,No,No,School of Information Systems,895b9145f6d209eade51fc8c980235373fb6aab9ce4ad4bdd542a1aa5afef173
8/20/2017 17:02,8/20/2017 17:05,Somewhat confident,Confident,Slightly confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,School of Social Sciences,1c79eed832f3ae857c3f2481aced2dc7e2368c036b8341bdbad814df53d07b25
8/20/2017 16:49,8/20/2017 16:51,Somewhat confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,Slightly confident,Very confident,No,No,No,No,No,Unsure,Unsure,School of Social Sciences,90404bcca5651c1d9e3c95d956cc54455739079ffde232daca847093f07cabd5
8/20/2017 16:10,8/20/2017 16:11,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Lee Kong Chian School of Business,50d81d3bd7446b721ac43e4a598e7ad406f74dd202fef240278a2c1feb5a776e
8/20/2017 15:53,8/20/2017 15:55,Slightly confident,Somewhat confident,Slightly confident,Confident,Confident,Very confident,Very confident,No,Unsure,No,Yes,Yes,Unsure,Unsure,School of Social Sciences,e9d922fd2a61b0b74d7ffaa2ecc6f94354e6522dd7798be766b73814b992a503
8/20/2017 15:43,8/20/2017 15:44,Confident,Confident,Somewhat confident,Confident,Confident,Confident,Confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,c7993c850a691c24367716ec73b3c940ecbebf5740ef2b9cc3908f247fc2daf3
8/20/2017 15:38,8/20/2017 15:39,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Yes,Yes,Yes,Yes,No,No,No,School of Economics,8eaad7bf35ebec4140506dd44eac58d1e45b78e14788f40d5785028ee591bf92
8/20/2017 15:28,8/20/2017 15:32,Confident,Confident,Not confident at all,Confident,Somewhat confident,Confident,Somewhat confident,No,No,No,No,No,Yes,No,School of Economics,7fe334f12c9e0a1967a3fc49851dbd7e9b6e2d92b8dd852fe17881aea60b2c19
8/20/2017 15:24,8/20/2017 15:26,Slightly confident,Somewhat confident,Not confident at all,Very confident,Slightly confident,Very confident,Very confident,No,No,No,No,No,Unsure,Unsure,School of Law,4f7c5f544b78fbc42641c34959a6a758c194ad880016b2229d81785c7db4c55c
8/20/2017 15:24,8/20/2017 15:26,Somewhat confident,Slightly confident,Not confident at all,Somewhat confident,Somewhat confident,Very confident,Very confident,No,No,No,No,No,No,No,School of Law,268f9987988b5319d82d9e938fc2c34aa2c0ebb404d646da7f4d3ad6ce00ff9f
8/20/2017 15:18,8/20/2017 15:22,Slightly confident,Confident,Confident,Very confident,Confident,Not confident at all,Confident,Unsure,Yes,Yes,Yes,Yes,No,Yes,Lee Kong Chian School of Business,70db2baf9f2574e27e1a79e3195a930b93dda09f298c3bc71436fed2df012356
8/20/2017 15:17,8/20/2017 15:18,Somewhat confident,Confident,Somewhat confident,Very confident,Somewhat confident,Somewhat confident,Very confident,No,No,No,No,No,No,Yes,Lee Kong Chian School of Business,771fd9ba10ab9fab2ce29a855a81f3a7f4e62f5121a7266f86f0bc4a42e23c6c
8/20/2017 15:13,8/20/2017 15:15,Not confident at all,Slightly confident,Slightly confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,No,No,Unsure,Unsure,Unsure,Unsure,Unsure,Lee Kong Chian School of Business,b05c10ddcf74180a6a18b98ce76b858d99c9f355714deec473603691f5d851f9
8/20/2017 15:13,8/20/2017 15:15,Confident,Very confident,Confident,Confident,Confident,Confident,Confident,No,No,No,No,No,No,Yes,School of Economics,411494cdcd8d9e5b2f9a44282a38245ba8dbc352862c0a4860e0985956a02289
8/20/2017 15:01,8/20/2017 15:05,Confident,Confident,Somewhat confident,Confident,Confident,Somewhat confident,Somewhat confident,No,Yes,No,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,9372f2e6bb231612447d1e001ff8694392a226b4945b1bf9f93c324e47dbffb0
8/20/2017 15:00,8/20/2017 15:02,Slightly confident,Somewhat confident,Not confident at all,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,No,Unsure,No,No,No,Unsure,Unsure,School of Information Systems,750e9a2420ce590bb35cb10b91b71950fbdf366c8218ce41584668ded2929af6
8/20/2017 14:59,8/20/2017 15:00,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,School of Accountancy,a999ac2426d6bcd3f726124a6a1d0c65d923c90d3fa6b2e816a33cff16832843
8/20/2017 14:44,8/20/2017 14:47,Somewhat confident,Confident,Somewhat confident,Confident,Somewhat confident,Very confident,Somewhat confident,Yes,Yes,No,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,1b1d3abb3640f29d027a079ccf7ddc2de602560763ca7d8825d8d9ef1a2cea6c
8/20/2017 14:36,8/20/2017 14:37,Confident,Confident,Very confident,Confident,Confident,Confident,Confident,No,Yes,Yes,Yes,No,Yes,Yes,School of Social Sciences,7e60914f16e34755bb866ed827a74c45ba2038bd539a950559c2cdb4d7dca2ed
8/20/2017 14:15,8/20/2017 14:17,Confident,Confident,Confident,Very confident,Confident,Confident,Confident,Yes,Yes,No,Yes,Yes,Unsure,Yes,School of Economics,2599458096682c5eae649ed2fbc491bddd4235205d311acbe59b3e9520328ad7
8/20/2017 12:49,8/20/2017 12:51,Somewhat confident,Confident,Slightly confident,Very confident,Confident,Confident,Slightly confident,Yes,Unsure,Unsure,Yes,Yes,Yes,Unsure,Lee Kong Chian School of Business,3175b1d2451c11758899829dda913cafb0cf3fae4d9545781b222c6ccb8d4516
8/20/2017 12:32,8/20/2017 12:33,Somewhat confident,Slightly confident,Slightly confident,Somewhat confident,Confident,Confident,Confident,No,Yes,Yes,Yes,Yes,Yes,Yes,School of Information Systems,4248374ec35dc5a095171422b58248ab50e0a168fa86e4f8c415bfc4d66b30d0
8/20/2017 12:21,8/20/2017 12:22,Slightly confident,Slightly confident,Confident,Confident,Somewhat confident,Slightly confident,Somewhat confident,No,No,Yes,Yes,Unsure,No,Yes,School of Economics,2a10ad7be09d48f6573e7a189d7cd94b1b2d5ddb8e8626c8a78fdf6d0bfed0b4
8/20/2017 12:19,8/20/2017 12:22,Not confident at all,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Not confident at all,Not confident at all,No,No,No,No,No,No,No,Lee Kong Chian School of Business,cd409af8852e55edb26c1ee205582ce9df94ce4fd3633342b4652ff58909aa1f
8/20/2017 12:11,8/20/2017 12:13,Confident,Confident,Somewhat confident,Somewhat confident,Confident,Confident,Confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,23a666e93c0168caa7ca105de49557cbe69e7b92f8c4654921787f68c0b1f956
8/20/2017 11:16,8/20/2017 11:22,Somewhat confident,Confident,Not confident at all,Very confident,Somewhat confident,Somewhat confident,Confident,No,No,No,No,No,No,No,School of Information Systems,09ed9e5e7977f908e4dcddd57c489764ba160eab023e275b66c739c5136c828d
8/20/2017 10:51,8/20/2017 10:52,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,No,Yes,No,No,Yes,Yes,Yes,Lee Kong Chian School of Business,715315f4d88a28b36d19ff1e20830348ce678028b8a0ed9288cbf86cba250413
8/20/2017 10:36,8/20/2017 10:52,Slightly confident,Not confident at all,Not confident at all,Slightly confident,Not confident at all,Not confident at all,Not confident at all,No,No,No,No,No,No,No,School of Accountancy,90fdf3afa8c7752c3ed3208b7785f409c6debb0ac46449bcbd8e1d5b2097833d
8/20/2017 10:40,8/20/2017 10:42,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,No,No,No,No,No,No,No,School of Accountancy,366a6bcb900c05607cd3b8fbadec40a4e690ae8d2e8d576c5792ddcc96a78303
8/20/2017 2:54,8/20/2017 2:55,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Yes,No,No,Yes,Unsure,No,No,Lee Kong Chian School of Business,f8c37e7ff354638bf8e3835ba84cefabb7d4d2303aacd4dc1b8fb096baad6614
8/20/2017 2:43,8/20/2017 2:47,Slightly confident,Slightly confident,Not confident at all,Very confident,Slightly confident,Somewhat confident,Slightly confident,Yes,Yes,No,Yes,Yes,Unsure,Yes,Lee Kong Chian School of Business,d5a663388a22671be474d4471731e8bda834b4cd5134c1e572b0a92f2361ca0d
8/20/2017 2:16,8/20/2017 2:18,Somewhat confident,Confident,Slightly confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,No,No,Unsure,Yes,Yes,Yes,Yes,School of Accountancy,671c1e6d7cb5eb34bce883c1042d299573694d2d29c300b2858111a26d0e56cb
8/20/2017 1:56,8/20/2017 1:57,Somewhat confident,Confident,Slightly confident,Very confident,Somewhat confident,Confident,Confident,Yes,No,No,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,d05488673e8e3b108d65e8633e6078c5c7e5d1d8c57ea0aa34d28e5078809975
8/20/2017 0:57,8/20/2017 0:58,Slightly confident,Slightly confident,Not confident at all,Somewhat confident,Slightly confident,Somewhat confident,Slightly confident,No,Unsure,Yes,Yes,Yes,Yes,Unsure,Lee Kong Chian School of Business,7aa62be148945d2f612feead40e827c70c2eebcea252b8f2a1762ab4d4212ef2
8/20/2017 0:49,8/20/2017 0:51,Somewhat confident,Somewhat confident,Somewhat confident,Confident,Confident,Confident,Somewhat confident,No,Yes,No,Yes,Yes,No,Unsure,Lee Kong Chian School of Business,45fbb20592be0572e85f6b4f90ef02e938891efd5fe423888b7e7b290d58e974
8/20/2017 0:42,8/20/2017 0:44,Somewhat confident,Somewhat confident,Somewhat confident,Confident,Confident,Confident,Confident,No,No,No,Yes,Yes,Yes,Yes,Lee Kong Chian School of Business,454ba35d434dbb3b634ca31bdde90f6794a41c6f886266602a5f8d90a21ff0ba
8/20/2017 0:33,8/20/2017 0:36,Somewhat confident,Confident,Somewhat confident,Confident,Somewhat confident,Confident,Confident,No,No,No,No,No,No,No,Lee Kong Chian School of Business,86ad503e91e69823b4de54d87d8a6cf5adbfb23a7b046cad755346af3de1181e
8/19/2017 23:49,8/19/2017 23:52,Slightly confident,Slightly confident,Somewhat confident,Confident,Slightly confident,Slightly confident,Slightly confident,Unsure,Unsure,Unsure,Yes,Unsure,Unsure,Unsure,Lee Kong Chian School of Business,fda55334e009c9922a72f4575e7b6efd63176b14b171860d48df256c5ce63d2e
8/19/2017 23:40,8/19/2017 23:42,Slightly confident,Somewhat confident,Slightly confident,Somewhat confident,Slightly confident,Not confident at all,Not confident at all,No,No,No,No,No,No,No,Lee Kong Chian School of Business,5c00420808dc8b6659247a78eb98da6e2b87b9805bae6b4f8cef6c71198f2ca7
