Email Address,Start Date,End Date,School,Pre-Confidence Scoping your topic,Pre-Confidence Searching Keywords,Pre-Confidence Searching library online databases,Pre-Confidence Searching the Internet using Google,Pre-Confidence  Evaluating information,Pre-Confidence Citing References,Pre-Confidence Creating Reference List,Pre-Confidence Scoping your topic (numeric),Pre-Confidence Searching Keywords (numeric),Pre-Confidence Searching library online databases (numeric),Pre-Confidence Searching the Internet using Google (numeric),Pre-Confidence  Evaluating information (numeric),Pre-Confidence Citing References (numeric),Pre-Confidence Creating Reference List (numeric),Pre-Training Scoping your topic,Pre-Training Searching using keywords,Pre-Training Searching library online databases,Pre-Training Searching the Internet using Google,Pre-Training Evaluating information,Pre-Training Citing References,Pre-Training Creating Reference List,Pre-Training Scoping your topic  (numeric),Pre-Training Searching using keywords (numeric),Pre-Training Searching library online databases (numeric),Pre-Training Searching the Internet using Google (numeric),Pre-Training Evaluating information (numeric),Pre-Training Citing References (numeric),Pre-Training Creating Reference List (numeric)
282ef3410e8ac87336656f80118863cbd3e8a38e9ed8b317589bb5dd1bda0a20,8/20/2017 23:37,8/20/2017 23:39,School of Economics,Slightly confident,Somewhat confident,Somewhat confident,Confident,Confident,Somewhat confident,Slightly confident,2,3,3,4,4,3,2,Yes,Yes,No,Yes,Yes,Yes,No,1,1,0,1,1,1,0
7ee80ba9f29f1075f9a66355048b9d1489c1c4c9d19a09beeebcf6162aaecafc,8/20/2017 23:30,8/20/2017 23:31,School of Information Systems,Confident,Confident,Not confident at all,Very confident,Confident,Confident,Confident,4,4,1,5,4,4,4,No,Yes,No,Yes,Yes,Yes,Yes,0,1,0,1,1,1,1
a20aed9d586622a586eeba70013ea78b8acca4fe9a5a4e66e777e3140b9458ea,8/20/2017 23:21,8/20/2017 23:24,School of Social Sciences,Somewhat confident,Somewhat confident,Not confident at all,Very confident,Confident,Slightly confident,Confident,3,3,1,5,4,2,4,Yes,Yes,No,Yes,Unsure,No,Unsure,1,1,0,1,0,0,0
db0b04d06a78aebfd2527a6ea05e95ba51a9d2b06dca1ad0a3491e79fd0e9ac2,8/20/2017 23:17,8/20/2017 23:20,School of Information Systems,Somewhat confident,Confident,Confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,3,4,4,4,3,3,3,No,Yes,No,Yes,Unsure,No,No,0,1,0,1,0,0,0
a2b7569314c8203b1206c16113d53e428887e879473a6ae2f5e4a5cb34f02a9b,8/20/2017 23:18,8/20/2017 23:19,Lee Kong Chian School of Business,Confident,Confident,Confident,Confident,Confident,Very confident,Very confident,4,4,4,4,4,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
9f7cceb4868093c93ec91cd2b4057ad46672371b4a78699d3ecb2d6b11feab2f,8/20/2017 23:15,8/20/2017 23:17,Lee Kong Chian School of Business,Somewhat confident,Somewhat confident,Not confident at all,Very confident,Slightly confident,Confident,Confident,3,3,1,5,2,4,4,No,No,No,No,No,No,No,0,0,0,0,0,0,0
66b491270666b8faf4ce4ec3a92f7921ea838f25a6430813ac42cac0daa16bc2,8/20/2017 23:13,8/20/2017 23:14,School of Information Systems,Slightly confident,Confident,Confident,Very confident,Very confident,Slightly confident,Slightly confident,2,4,4,5,5,2,2,Yes,Yes,Yes,Yes,Yes,No,Yes,1,1,1,1,1,0,1
8a849ba21d46ddc4e3ce5605faa155e5ddd87b189410034498d5ff4dd461e708,8/20/2017 23:10,8/20/2017 23:12,School of Information Systems,Slightly confident,Somewhat confident,Not confident at all,Very confident,Very confident,Slightly confident,Slightly confident,2,3,1,5,5,2,2,No,No,No,No,No,No,No,0,0,0,0,0,0,0
697d94f51a5fe80094acafb98acf84f8502aa01f5fb16503ac6df2f6749197e3,8/20/2017 23:03,8/20/2017 23:05,School of Accountancy,Confident,Confident,Confident,Confident,Confident,Somewhat confident,Somewhat confident,4,4,4,4,4,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
7eb1f506f7daf34d560df9cf323c6c765eff5b6080c82b445310f92bf72495a5,8/20/2017 23:02,8/20/2017 23:03,School of Accountancy,Somewhat confident,Somewhat confident,Confident,Confident,Confident,Very confident,Very confident,3,3,4,4,4,5,5,No,Yes,Yes,Yes,Unsure,Unsure,Unsure,0,1,1,1,0,0,0
9cb5be4085f8351a464635869d7f0b0eec6f531240cca4f6ab93c2c7ec2b6f05,8/20/2017 22:53,8/20/2017 22:56,Lee Kong Chian School of Business,Somewhat confident,Somewhat confident,Slightly confident,Confident,Confident,Very confident,Very confident,3,3,2,4,4,5,5,Yes,No,No,Yes,Unsure,Yes,Yes,1,0,0,1,0,1,1
bbbab67b923b33e222a498f83385dce6fa26ed9e08bcb9f85e22ab9fe4620315,8/20/2017 22:48,8/20/2017 22:49,Lee Kong Chian School of Business,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,3,3,3,3,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
526faa9d47db8dde681f1585a0bbb12428ae9352172a2970fef99ebe4a8944ad,8/20/2017 22:47,8/20/2017 22:49,Lee Kong Chian School of Business,Confident,Confident,Somewhat confident,Confident,Very confident,Very confident,Very confident,4,4,3,4,5,5,5,Unsure,Unsure,Yes,Yes,Yes,Yes,Yes,0,0,1,1,1,1,1
585c7175aa669c3c96df7f2c9cb8b9694ffe37746114bb681ddbbfb10e8a2186,8/20/2017 22:48,8/20/2017 22:49,Lee Kong Chian School of Business,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,5,5,5,5,5,5,5,No,No,No,No,No,No,No,0,0,0,0,0,0,0
e6a45b46b19fe1e7a363c12d68f49867559c626bd611e0e5249e86ac5e15aeaf,8/20/2017 22:45,8/20/2017 22:48,School of Social Sciences,Somewhat confident,Somewhat confident,Somewhat confident,Very confident,Slightly confident,Somewhat confident,Slightly confident,3,3,3,5,2,3,2,No,Yes,No,Yes,Yes,Yes,Unsure,0,1,0,1,1,1,0
a9cc9c8c52893773b85f85d4f27b972779a1dc28927658532d9052ed50c9dc9e,8/20/2017 22:41,8/20/2017 22:42,Lee Kong Chian School of Business,Confident,Confident,Somewhat confident,Very confident,Confident,Very confident,Very confident,4,4,3,5,4,5,5,Yes,Yes,No,Yes,No,No,No,1,1,0,1,0,0,0
d0d8988068d802d28adf5f3468e139992680ad2933a8f31cfa067a385878cb26,8/20/2017 22:30,8/20/2017 22:39,School of Economics,Somewhat confident,Very confident,Somewhat confident,Very confident,Confident,Not confident at all,Confident,3,5,3,5,4,1,4,No,Yes,Unsure,Yes,Yes,No,Yes,0,1,0,1,1,0,1
545eb1ccc604a25595aa51b663d19ab519570f41ac3a775aa7b23c71815b5c43,8/20/2017 22:33,8/20/2017 22:34,School of Information Systems,Somewhat confident,Confident,Somewhat confident,Confident,Confident,Somewhat confident,Somewhat confident,3,4,3,4,4,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
297f54b3a8bb84f0b86a53b57977152e4f98f125ecbd991b68ce8313a00d6c95,8/20/2017 22:28,8/20/2017 22:29,School of Information Systems,Confident,Confident,Confident,Confident,Confident,Confident,Confident,4,4,4,4,4,4,4,Yes,Yes,Unsure,Yes,Yes,Yes,No,1,1,0,1,1,1,0
99d680f5d9078b865b4c856859193730ab739b3bd59c0dab240980579b81e9db,8/20/2017 22:22,8/20/2017 22:24,School of Economics,Slightly confident,Somewhat confident,Not confident at all,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,2,3,1,2,3,3,3,Yes,Yes,No,Yes,No,Yes,Yes,1,1,0,1,0,1,1
9c429d124686edf863f1eb389b215841bdf6f34dbd13c21332c1121937cc5d33,8/20/2017 22:18,8/20/2017 22:19,School of Social Sciences,Confident,Confident,Confident,Confident,Confident,Confident,Confident,4,4,4,4,4,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
ccf0e81dbc4223db30dbd2a747182bc0517487d640fdbe683d1bf25c27083e7a,8/20/2017 22:10,8/20/2017 22:12,School of Information Systems,Somewhat confident,Confident,Somewhat confident,Very confident,Confident,Confident,Confident,3,4,3,5,4,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
a59ce7c9955502e43688fc5e0b453ba4749dfc5f40d43032535fea7166f3182c,8/20/2017 21:56,8/20/2017 21:57,School of Accountancy,Somewhat confident,Slightly confident,Slightly confident,Confident,Somewhat confident,Slightly confident,Slightly confident,3,2,2,4,3,2,2,Yes,Yes,No,Yes,Yes,Yes,No,1,1,0,1,1,1,0
f4cd8430f31445ccf5927a59deb1ff893e997487eee7882ffe05f3d2ab8832b8,8/20/2017 21:56,8/20/2017 21:57,School of Economics,Somewhat confident,Confident,Somewhat confident,Confident,Confident,Confident,Confident,3,4,3,4,4,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
f187ecdf0f11100d331bfe5a2d6b632a2a429b0a0194d21cde6fcf6fc6e0b5af,8/20/2017 21:47,8/20/2017 21:48,School of Social Sciences,Slightly confident,Confident,Slightly confident,Very confident,Confident,Somewhat confident,Somewhat confident,2,4,2,5,4,3,3,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1,0,1,1,1,1
f23bac81efefcfba243978fd34ed9cd075c1fe9688d0926645f920c063034620,8/20/2017 21:31,8/20/2017 21:32,School of Social Sciences,Somewhat confident,Confident,Confident,Confident,Confident,Confident,Confident,3,4,4,4,4,4,4,Yes,Yes,Unsure,Yes,Yes,Yes,Yes,1,1,0,1,1,1,1
1ca39fe2aa16d4899d74c2882ff6d8159df5c38fdbca60e0797b48b55b5d4ac8,8/20/2017 21:29,8/20/2017 21:31,School of Social Sciences,Slightly confident,Slightly confident,Slightly confident,Confident,Confident,Confident,Confident,2,2,2,4,4,4,4,No,No,No,No,Yes,Yes,Yes,0,0,0,0,1,1,1
6b0d4cdb1bf549264f59b6b472271bcdc1daead42493ff7d0e663afa34eb6e81,8/20/2017 21:17,8/20/2017 21:18,School of Law,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Very confident,Very confident,2,2,2,2,2,5,5,No,No,No,No,No,Yes,Yes,0,0,0,0,0,1,1
0628815dad62b4f041abf8270ccc860e92436563fd74c40d1bf2c7fbe3a00ba4,8/20/2017 21:09,8/20/2017 21:11,School of Social Sciences,Somewhat confident,Somewhat confident,Somewhat confident,Confident,Confident,Somewhat confident,Confident,3,3,3,4,4,3,4,No,No,No,No,No,No,No,0,0,0,0,0,0,0
0279ca67ff7e6e7b7fe68a569cbe3b8f864b6087514fd7a38813603a89ee6f57,8/20/2017 20:20,8/20/2017 20:22,School of Accountancy,Slightly confident,Slightly confident,Not confident at all,Somewhat confident,Somewhat confident,Slightly confident,Not confident at all,2,2,1,3,3,2,1,No,Unsure,No,Yes,No,Yes,No,0,0,0,1,0,1,0
89f7df544f6e1fae9990231e9d1990875a4f4e2cbecdd31fd3da58482c7a8146,8/20/2017 20:11,8/20/2017 20:12,Lee Kong Chian School of Business,Slightly confident,Somewhat confident,Not confident at all,Confident,Somewhat confident,Somewhat confident,Somewhat confident,2,3,1,4,3,3,3,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1,0,1,1,1,1
7533d8fa04a4bbef2616518f53e4ed0601530e3f39e800299225a9a26919d285,8/20/2017 20:04,8/20/2017 20:05,School of Accountancy,Somewhat confident,Somewhat confident,Not confident at all,Very confident,Somewhat confident,Not confident at all,Somewhat confident,3,3,1,5,3,1,3,No,No,No,No,No,No,No,0,0,0,0,0,0,0
8169636924387a4ef37b449168ad1124c5c84fdc6a8878a44c9894ecc96d4dcc,8/20/2017 20:00,8/20/2017 20:05,School of Economics,Somewhat confident,Somewhat confident,Not confident at all,Very confident,Somewhat confident,Not confident at all,Slightly confident,3,3,1,5,3,1,2,No,No,No,No,No,No,No,0,0,0,0,0,0,0
d51058c3869302333c3cfcafb77f0bdfc86d49a8d202ed9aab4a209ec1830e5b,8/20/2017 19:49,8/20/2017 19:50,Lee Kong Chian School of Business,Not confident at all,Somewhat confident,Slightly confident,Very confident,Slightly confident,Not confident at all,Not confident at all,1,3,2,5,2,1,1,No,No,No,Yes,No,No,No,0,0,0,1,0,0,0
bdb5eca59dfb1e0163a1fe5e56cc512f36ed484132573ad2d1e5f894f1fab946,8/20/2017 19:32,8/20/2017 19:35,School of Economics,Confident,Confident,Confident,Confident,Somewhat confident,Somewhat confident,Confident,4,4,4,4,3,3,4,Yes,Yes,No,Yes,Yes,No,Yes,1,1,0,1,1,0,1
09507b453606c3e8ad917e3ae5ac8ca3f2e2f8c98e09fff3e00845be20276967,8/20/2017 19:25,8/20/2017 19:26,Lee Kong Chian School of Business,Confident,Confident,Confident,Confident,Confident,Confident,Confident,4,4,4,4,4,4,4,Unsure,Unsure,Unsure,Yes,Yes,Yes,Yes,0,0,0,1,1,1,1
feab6a4b00851db84df250b290beeecafe37a4fdd23c7f87beb7690434a31905,8/20/2017 19:11,8/20/2017 19:15,School of Information Systems,Slightly confident,Somewhat confident,Slightly confident,Confident,Confident,Somewhat confident,Somewhat confident,2,3,2,4,4,3,3,No,Yes,Unsure,No,Yes,Yes,Yes,0,1,0,0,1,1,1
8f16ca4474076c240bc3828b316767007120c5dce026cb386002a68b6f464133,8/20/2017 19:11,8/20/2017 19:13,School of Information Systems,Somewhat confident,Somewhat confident,Slightly confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,3,3,2,4,3,3,3,Yes,Yes,No,Yes,Unsure,Yes,Yes,1,1,0,1,0,1,1
a1fa922f736f3998a2da0a51762306eafe7af801821d807bfc5b39c8808bb750,8/20/2017 19:07,8/20/2017 19:10,Lee Kong Chian School of Business,Confident,Confident,Not confident at all,Very confident,Confident,Confident,Somewhat confident,4,4,1,5,4,4,3,Unsure,Yes,No,Yes,Yes,Yes,Yes,0,1,0,1,1,1,1
fd29379835af1975e59a9adbb869b9fbdfc60df6f9104ee0178d57ff78e4762b,8/20/2017 18:40,8/20/2017 18:41,School of Social Sciences,Slightly confident,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Somewhat confident,Somewhat confident,2,2,2,3,2,3,3,Unsure,Unsure,No,Yes,Unsure,Yes,Yes,0,0,0,1,0,1,1
fd29379835af1975e59a9adbb869b9fbdfc60df6f9104ee0178d57ff78e4762b,8/20/2017 17:37,8/20/2017 18:40,School of Social Sciences,Slightly confident,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Somewhat confident,Somewhat confident,2,2,2,3,2,3,3,Unsure,Unsure,No,Yes,Unsure,Yes,Yes,0,0,0,1,0,1,1
6e08d174a01f2148539850465a488192ec5af569cab43ee25cddfda1faba7c76,8/20/2017 18:20,8/20/2017 18:22,Lee Kong Chian School of Business,Somewhat confident,Confident,Somewhat confident,Confident,Somewhat confident,Confident,Somewhat confident,3,4,3,4,3,4,3,No,Yes,No,Yes,Yes,Yes,Unsure,0,1,0,1,1,1,0
7876ff8d05e02bd6e99293a1a62e686cb2033f25bde9346916cd17453a33b3c2,8/20/2017 17:59,8/20/2017 18:02,School of Accountancy,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,Somewhat confident,Confident,2,2,3,2,2,3,4,No,No,No,Yes,Unsure,Yes,Unsure,0,0,0,1,0,1,0
a20cad06502c937b8378833201e7b1598f4c536bf86d012ef7f6c71301a48826,8/20/2017 17:35,8/20/2017 17:37,Lee Kong Chian School of Business,Somewhat confident,Somewhat confident,Not confident at all,Somewhat confident,Not confident at all,Confident,Confident,3,3,1,3,1,4,4,No,No,No,Yes,No,Yes,Yes,0,0,0,1,0,1,1
729ed604f931dd42c396d22fbb7433ca5b2389581ca827dfc50315cc64876a62,8/20/2017 17:17,8/20/2017 17:20,Lee Kong Chian School of Business,Slightly confident,Slightly confident,Slightly confident,Very confident,Somewhat confident,Very confident,Very confident,2,2,2,5,3,5,5,No,Yes,No,Yes,Yes,Yes,Yes,0,1,0,1,1,1,1
62d3ce1eadb9f60881d35bdfbf5edb0e3957797b4435ce1cc8113114f2b4f50c,8/20/2017 17:08,8/20/2017 17:13,School of Social Sciences,Not confident at all,Slightly confident,Not confident at all,Confident,Somewhat confident,Somewhat confident,Somewhat confident,1,2,1,4,3,3,3,No,Yes,No,Yes,Unsure,Unsure,Unsure,0,1,0,1,0,0,0
4d62eb1250716faac269d07936674812aea0662a52472a2a88451871c320ff4f,8/20/2017 17:09,8/20/2017 17:13,Lee Kong Chian School of Business,Slightly confident,Somewhat confident,Slightly confident,Very confident,Confident,Somewhat confident,Somewhat confident,2,3,2,5,4,3,3,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1,0,1,1,1,1
895b9145f6d209eade51fc8c980235373fb6aab9ce4ad4bdd542a1aa5afef173,8/20/2017 17:08,8/20/2017 17:10,School of Information Systems,Slightly confident,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,Not confident at all,2,2,2,3,2,2,1,Unsure,Yes,No,Yes,No,No,No,0,1,0,1,0,0,0
1c79eed832f3ae857c3f2481aced2dc7e2368c036b8341bdbad814df53d07b25,8/20/2017 17:02,8/20/2017 17:05,School of Social Sciences,Somewhat confident,Confident,Slightly confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,3,4,2,4,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
90404bcca5651c1d9e3c95d956cc54455739079ffde232daca847093f07cabd5,8/20/2017 16:49,8/20/2017 16:51,School of Social Sciences,Somewhat confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,Slightly confident,Very confident,3,4,3,3,3,2,5,No,No,No,No,No,Unsure,Unsure,0,0,0,0,0,0,0
50d81d3bd7446b721ac43e4a598e7ad406f74dd202fef240278a2c1feb5a776e,8/20/2017 16:10,8/20/2017 16:11,Lee Kong Chian School of Business,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,2,3,2,2,3,3,3,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,0,0,0,0,0,0,0
e9d922fd2a61b0b74d7ffaa2ecc6f94354e6522dd7798be766b73814b992a503,8/20/2017 15:53,8/20/2017 15:55,School of Social Sciences,Slightly confident,Somewhat confident,Slightly confident,Confident,Confident,Very confident,Very confident,2,3,2,4,4,5,5,No,Unsure,No,Yes,Yes,Unsure,Unsure,0,0,0,1,1,0,0
c7993c850a691c24367716ec73b3c940ecbebf5740ef2b9cc3908f247fc2daf3,8/20/2017 15:43,8/20/2017 15:44,Lee Kong Chian School of Business,Confident,Confident,Somewhat confident,Confident,Confident,Confident,Confident,4,4,3,4,4,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
8eaad7bf35ebec4140506dd44eac58d1e45b78e14788f40d5785028ee591bf92,8/20/2017 15:38,8/20/2017 15:39,School of Economics,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,2,2,2,2,2,2,2,Yes,Yes,Yes,Yes,No,No,No,1,1,1,1,0,0,0
7fe334f12c9e0a1967a3fc49851dbd7e9b6e2d92b8dd852fe17881aea60b2c19,8/20/2017 15:28,8/20/2017 15:32,School of Economics,Confident,Confident,Not confident at all,Confident,Somewhat confident,Confident,Somewhat confident,4,4,1,4,3,4,3,No,No,No,No,No,Yes,No,0,0,0,0,0,1,0
4f7c5f544b78fbc42641c34959a6a758c194ad880016b2229d81785c7db4c55c,8/20/2017 15:24,8/20/2017 15:26,School of Law,Slightly confident,Somewhat confident,Not confident at all,Very confident,Slightly confident,Very confident,Very confident,2,3,1,5,2,5,5,No,No,No,No,No,Unsure,Unsure,0,0,0,0,0,0,0
268f9987988b5319d82d9e938fc2c34aa2c0ebb404d646da7f4d3ad6ce00ff9f,8/20/2017 15:24,8/20/2017 15:26,School of Law,Somewhat confident,Slightly confident,Not confident at all,Somewhat confident,Somewhat confident,Very confident,Very confident,3,2,1,3,3,5,5,No,No,No,No,No,No,No,0,0,0,0,0,0,0
70db2baf9f2574e27e1a79e3195a930b93dda09f298c3bc71436fed2df012356,8/20/2017 15:18,8/20/2017 15:22,Lee Kong Chian School of Business,Slightly confident,Confident,Confident,Very confident,Confident,Not confident at all,Confident,2,4,4,5,4,1,4,Unsure,Yes,Yes,Yes,Yes,No,Yes,0,1,1,1,1,0,1
771fd9ba10ab9fab2ce29a855a81f3a7f4e62f5121a7266f86f0bc4a42e23c6c,8/20/2017 15:17,8/20/2017 15:18,Lee Kong Chian School of Business,Somewhat confident,Confident,Somewhat confident,Very confident,Somewhat confident,Somewhat confident,Very confident,3,4,3,5,3,3,5,No,No,No,No,No,No,Yes,0,0,0,0,0,0,1
b05c10ddcf74180a6a18b98ce76b858d99c9f355714deec473603691f5d851f9,8/20/2017 15:13,8/20/2017 15:15,Lee Kong Chian School of Business,Not confident at all,Slightly confident,Slightly confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,1,2,2,4,3,3,3,No,No,Unsure,Unsure,Unsure,Unsure,Unsure,0,0,0,0,0,0,0
411494cdcd8d9e5b2f9a44282a38245ba8dbc352862c0a4860e0985956a02289,8/20/2017 15:13,8/20/2017 15:15,School of Economics,Confident,Very confident,Confident,Confident,Confident,Confident,Confident,4,5,4,4,4,4,4,No,No,No,No,No,No,Yes,0,0,0,0,0,0,1
9372f2e6bb231612447d1e001ff8694392a226b4945b1bf9f93c324e47dbffb0,8/20/2017 15:01,8/20/2017 15:05,Lee Kong Chian School of Business,Confident,Confident,Somewhat confident,Confident,Confident,Somewhat confident,Somewhat confident,4,4,3,4,4,3,3,No,Yes,No,Yes,Yes,Yes,Yes,0,1,0,1,1,1,1
750e9a2420ce590bb35cb10b91b71950fbdf366c8218ce41584668ded2929af6,8/20/2017 15:00,8/20/2017 15:02,School of Information Systems,Slightly confident,Somewhat confident,Not confident at all,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,2,3,1,3,2,2,2,No,Unsure,No,No,No,Unsure,Unsure,0,0,0,0,0,0,0
a999ac2426d6bcd3f726124a6a1d0c65d923c90d3fa6b2e816a33cff16832843,8/20/2017 14:59,8/20/2017 15:00,School of Accountancy,Confident,Confident,Confident,Confident,Confident,Confident,Confident,4,4,4,4,4,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
1b1d3abb3640f29d027a079ccf7ddc2de602560763ca7d8825d8d9ef1a2cea6c,8/20/2017 14:44,8/20/2017 14:47,Lee Kong Chian School of Business,Somewhat confident,Confident,Somewhat confident,Confident,Somewhat confident,Very confident,Somewhat confident,3,4,3,4,3,5,3,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1,0,1,1,1,1
7e60914f16e34755bb866ed827a74c45ba2038bd539a950559c2cdb4d7dca2ed,8/20/2017 14:36,8/20/2017 14:37,School of Social Sciences,Confident,Confident,Very confident,Confident,Confident,Confident,Confident,4,4,5,4,4,4,4,No,Yes,Yes,Yes,No,Yes,Yes,0,1,1,1,0,1,1
2599458096682c5eae649ed2fbc491bddd4235205d311acbe59b3e9520328ad7,8/20/2017 14:15,8/20/2017 14:17,School of Economics,Confident,Confident,Confident,Very confident,Confident,Confident,Confident,4,4,4,5,4,4,4,Yes,Yes,No,Yes,Yes,Unsure,Yes,1,1,0,1,1,0,1
